Date;Beta Monthly Leveraged;Beta Monthly Unleveraged;Beta Weekly Leveraged;Beta Weekly Unleveraged;Close;Open;PE
2014/08/31;0,8006;0;0,7626;0;151,7;148,85;17,086
2014/07/31;0,7408;0;0,8319;0;148,85;145,42;16,821
2014/06/30;0,7495;0;0,829;0;145,42;144,55;16,434
2014/05/31;0,7311;0;0,7751;0;144,55;144,09;16,376
2014/04/30;0,6809;0;0,7873;0;144,09;137,66;16,475
2014/03/31;0,6794;0;0,8183;0;137,66;128,24;15,83
2014/02/28;0,6883;0;0,7733;0;128,24;125,49;16,705
2014/01/31;0,644;0;0,7993;0;125,49;137,57;16,782
2013/12/31;0,6454;0;0,6809;0;137,57;130,58;18,398
2013/11/30;0,6869;0;0,7047;0;130,58;132,71;17,484
2013/10/31;0,6402;0;0,6617;0;132,71;126,88;18,227
2013/09/30;0,5324;0;0,6685;0;126,88;123,07;17,426
2013/08/31;0,4707;0;0,6336;0;123,07;122,12;17,073
2013/07/31;0,4548;0;0,6414;0;122,12;122,46;17,473
2013/06/30;0,5452;0;0,6331;0;122,46;128,33;17,522
2013/05/31;0,4693;0;0,6302;0;128,33;119,52;18,353
2013/04/30;0,4896;0;0,5978;0;119,52;121,74;17,359
2013/03/31;0,5542;0;0,6259;0;121,74;116,11;17,681
2013/02/28;0,5526;0;0,6262;0;116,11;109,23;15,926
2013/01/31;0,4938;0;0,6252;0;109,23;109;14,962
2012/12/31;0,5355;0;0,6156;0;109;102,94;14,931
2012/11/30;0,5597;0;0,6209;0;102,94;101,1;14,098
2012/10/31;0,5214;0;0,6148;0;101,1;100,15;14,248
2012/09/30;0,5736;0;0,62;0;100,15;98,67;14,114
2012/08/31;0,5184;0;0,6185;0;98,67;98,16;14,604
2012/07/31;0,5202;0;0,5746;0;98,16;92;14,974
2012/06/30;0,5599;0;0,6124;0;92;89,27;14,034
2012/05/31;0,5106;0;0,6137;0;89,27;91648,72;13,63
2012/04/30;0,5211;0;0,6017;0;91,65;91,99;14,385
2012/03/31;0,5287;0;0,6108;0;91,99;89,75;14,439
2012/02/29;0,5627;0;0,6178;0;89,75;86,13;14,612
2012/01/31;0,5152;0;0,5674;0;86,13;79,81;14,937
2011/12/31;0,5227;0;0,6115;0;79,81;80,43;13,838
2011/11/30;0,5375;0;0,6235;0;80,43;79,29;13,93
2011/10/31;0,5229;0;0,601;0;79,29;74,09;14,286
2011/09/30;0,5387;0;0,6041;0;74,09;76,36;13,349
2011/08/31;0,5181;0;0,6103;0;76,36;76,43;13,055
2011/07/31;0,5502;0;0,5963;0;76,43;76,27;13,457
2011/06/30;0,5487;0;0,5922;0;76,27;77,61;13,203
2011/05/31;0,5321;0;0,5807;0;77,61;77,7;14,294
2011/04/30;0,5578;0;0,6138;0;77,7;76,28;15,007
2011/03/31;0,5501;0;0,6195;0;76,28;77,77;14,731
2011/02/28;0,5683;0;0,5874;0;77,77;76,48;14,988
2011/01/31;0,5574;0;0,5855;0;76,48;77,68;15,309
2010/12/31;0,5503;0;0,6155;0;77,68;72,31;15,55
2010/11/30;0,5766;0;0,5748;0;72,31;71,55;14,882
2010/10/31;0,5589;0;0,6211;0;71,55;70;18,801
2010/09/30;0,5931;0;0,6264;0;70;64,26;18,392
2010/08/31;0,5934;0;0,5849;0;64,26;65,59;16,975
2010/07/31;0,6118;0;0,62;0;65,59;62,25;17,236
2010/06/30;0,6247;0;0,6041;0;62,25;63,56;16,357
2010/05/31;0,6059;0;0,5771;0;63,56;65,16;17,527
2010/04/30;0,5934;0;0,6149;0;65,16;64,86;16,781
2010/03/31;0,5925;0;0,5967;0;64,86;58,66;16,703
2010/02/28;0,5529;0;0,6151;0;58,66;59,18;15,155
2010/01/31;0,5644;0;0,6127;0;59,18;58,61;15,107
2009/12/31;0,5897;0;0,6175;0;58,61;58,37;14,963
2009/11/30;0,6052;0;0,584;0;58,37;62,02;14,309
2009/10/31;0,6301;0;0,6308;0;62,02;60,43;13,451
2009/09/30;0,6211;0;0,5935;0;60,43;59,44;13,23
2009/08/31;0,6123;0;0,5862;0;59,44;55,14;13,013
2009/07/31;0,6227;0;0,6193;0;55,14;50,36;11,626
2009/06/30;0,6284;0;0,5803;0;50,36;49,16;10,618
2009/05/31;0,6011;0;0,6211;0;49,16;47,69;11,149
2009/04/30;0,6602;0;0,6065;0;47,69;44,78;9,457
2009/03/31;0,6396;0;0,5777;0;44,78;43,95;8,88
2009/02/28;0,5771;0;0,6109;0;43,95;47,04;8,715
2009/01/31;0,6696;0;0,5956;0;47,04;50,9;9,16
