SPUR,KAP INDUSTRIAL,ADVTECH,REUNERT,CLICKS GROUP,CITY LODGE HOTELS,PPC,NAMPAK,MURRAY & ROBERTS,SUPER GROUP,CURRO HOLDINGS,INVICTA,PICK N PAY STORES,TSOGO SUN,SHOPRITE,GRINDROD,WOOLWORTHS HDG,FAMOUS BRANDS,AFRIMAT,MASSMART,MR PRICE GROUP,RAUBEX GROUP,THE FOSCHINI GROUP,BARLOWORLD,BIDVEST GROUP,SUN INTERNATIONAL,WLSN.BAYLY HOLMES-OVCON,MPACT,HUDACO,CASHBUILD,LEWIS GROUP,TRENCOR,ITALTILE,IMPERIAL,SPAR GROUP,TRUWORTHS INTL
720,130,350,3550,1450,6150,2975,1265,3759,550,0.0,1875,3090,1600,4872,1240,1200,1435,195,7000,2360,1770,4050,3040,7900,7167,8700,0.0,4450,5499,3555,1700,270,4439,5205,3159
725,130,340,3315,1410,6100,2905,1234,3775,500,0.0,1850,3075,1550,4855,1140,1170,1400,190,6710,2358,1705,3945,3015,7945,6900,8650,0.0,4350,5449,3440,1700,264,4010,5160,3050
750,130,340,3420,1400,6100,2975,1250,3850,500,0.0,1850,3008,1500,4780,1205,1177,1380,180,6583,2350,1740,3945,3100,8000,6995,8600,0.0,4205,5600,3501,1700,260,4321,5000,3008
765,130,340,3450,1352,6110,2817,1282,3850,500,0.0,1850,3020,1500,4650,1115,1120,1380,178,6300,2224,1702,3785,2900,7952,6950,8658,0.0,4400,5600,3490,1700,260,4500,4920,2897
765,140,307,3590,1325,6100,2740,1250,3900,500,0.0,1850,2932,1540,4560,1150,1098,1350,178,6180,2220,1717,3690,2890,7900,6698,8600,0.0,4600,5600,3300,1700,290,4325,4915,2888
760,140,307,3325,1280,6100,2718,1287,3900,600,0.0,1825,2812,1532,4436,1221,1005,1380,175,6268,2180,1625,3512,2650,7750,6200,8350,0.0,4399,5580,3350,1700,230,4350,4840,2775
765,140,310,3330,1302,5949,2609,1290,3800,650,0.0,1825,2950,1450,4450,1300,1040,1360,174,6385,2255,1694,3662,2751,7894,5950,8200,0.0,4400,5200,3300,1700,220,4398,4900,2750
805,140,320,3305,1400,5995,2750,1290,3940,660,0.0,1850,2976,1560,4470,1300,1025,1325,173,6700,2300,1699,3795,2800,8095,6200,8450,0.0,4400,5400,3468,1600,220,4440,4960,2791
805,140,323,3380,1401,6110,2795,1285,3880,700,0.0,1850,3034,1600,4670,1250,1045,1350,173,6700,2300,1700,3750,2950,8211,6015,8400,0.0,4500,5380,3381,1500,220,4350,4985,2855
815,135,350,3590,1461,6200,2835,1290,3945,680,0.0,1850,3081,1690,4801,1321,1100,1350,173,6830,2316,1699,3949,3100,8500,6494,8449,0.0,4400,5300,3501,1600,220,4480,5175,3045
800,135,345,3570,1445,6175,2900,1278,3995,600,0.0,1850,3090,1694,4916,1223,1110,1360,195,6331,2310,1710,3975,3125,8570,6800,8550,0.0,4350,5300,3579,1610,220,4550,5212,2956
