ASPEN,CAPITEC,IMPLATS,GROWPNT,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,SHOPRIT,INVLTD,MONDIPLC,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP
5578,4295.0,16890,1295,3050.0,28295.0,21717.0,7800.0,1318.0,21991.0,1900.0,2693,1735.0,7707.0,8242.0,1623.0,8830,5760.0,4475,2620.0,4400.0,2595.0,53530,22125,1210.0,9810.0,27850,5718.0,5401.0,11900.0
5575,4350.0,17150,1272,3030.0,28700.0,22209.0,7645.0,1320.0,21935.0,1870.0,2617,1715.0,7474.0,7938.0,1648.0,8818,5655.0,4500,2647.0,4475.0,2580.0,51520,22190,1184.0,10000.0,27250,5740.0,5450.0,11930.0
5518,4300.0,15811,1275,3030.0,27600.0,22526.0,7340.0,1285.0,21836.0,1880.0,2665,1731.0,7449.0,8109.0,1645.0,8890,5770.0,4418,2560.0,4335.0,2535.0,51199,20980,1215.0,10006.0,25850,5760.0,5410.0,12000.0
5669,4300.0,16075,1267,2973.0,27700.0,22225.0,7250.0,1295.0,22585.0,1850.0,2632,1710.0,7560.0,8087.0,1671.0,8930,5755.0,4399,2610.0,4349.0,2585.0,50225,21150,1223.0,10210.0,26600,5745.0,5575.0,12100.0
5750,4300.0,16050,1269,2895.0,28285.0,22350.0,7236.0,1352.0,22535.0,1820.0,2700,1703.0,7650.0,7965.0,1706.0,9061,5900.0,4390,2634.0,4371.0,2630.0,50100,21105,1233.0,10240.0,26399,5700.0,5700.0,11900.0
5793,4450.0,16313,1270,2805.0,28200.0,22671.0,7161.0,1371.0,22485.0,1840.0,2718,1715.0,7605.0,8078.0,1700.0,9160,5799.0,4490,2585.0,4439.0,2660.0,50000,21600,1249.0,10365.0,26650,5850.0,5760.0,12001.0
5850,4416.0,16400,1272,2760.0,28300.0,22674.0,7190.0,1359.0,22385.0,1880.0,2761,1723.0,7683.0,7919.0,1677.0,9300,5771.0,4527,2606.0,4463.0,2715.0,49832,22200,1241.0,10600.0,27340,5849.0,5798.0,11990.0
6050,4251.0,16400,1290,2795.0,27250.0,23011.0,7200.0,1372.0,23055.0,1880.0,2824,1766.0,7636.0,8272.0,1716.0,9375,5811.0,4650,2602.0,4670.0,2745.0,51000,22606,1279.0,10851.0,27000,5815.0,5790.0,12025.0
6000,4250.0,16900,1300,2780.0,28850.0,23094.0,7500.0,1425.0,22485.0,1870.0,2971,1866.0,7750.0,8597.0,1743.0,9375,5950.0,4710,2630.0,4717.0,2755.0,52000,23082,1308.0,10905.0,27095,5800.0,5715.0,12349.0
5845,4300.0,17600,1305,2925.0,30000.0,23298.0,7975.0,1436.0,22965.0,1880.0,2921,1850.0,7825.0,8228.0,1789.0,9543,5817.0,4845,2650.0,4815.0,2775.0,52000,23799,1288.0,10900.0,27957,5870.0,5860.0,12889.0
5855,4400.0,17550,1309,2965.0,29501.0,23500.0,7684.0,1460.0,23623.0,1890.0,2918,1860.0,7850.0,8184.0,1804.0,9600,5885.0,4765,2755.0,4750.0,2805.0,52001,23391,1280.0,10720.0,28501,5865.0,5840.0,12945.0
5899,4400.0,17400,1323,2935.0,29655.0,23399.0,7875.0,1410.0,24084.0,1900.0,2918,1885.0,8000.0,8267.0,1794.0,9600,5975.0,4800,2750.0,4800.0,2830.0,53400,23740,1309.0,10700.0,28200,5930.0,5727.0,12990.0
5900,4320.0,17650,1321,3000.0,30852.0,23065.0,7975.0,1426.0,24534.0,1870.0,2901,1865.0,8041.0,8096.0,1818.0,9585,5902.0,4875,2770.0,4950.0,2850.0,54730,23275,1313.0,10820.0,28300,6080.0,5800.0,12895.0
5834,4350.0,17828,1345,3050.0,30700.0,23076.0,7800.0,1430.0,23964.0,1910.0,2926,1899.0,8050.0,8052.0,1814.0,9575,5930.0,4900,2795.0,4929.0,2780.0,56500,23920,1311.0,11000.0,28520,6000.0,5860.0,13129.0
5700,4400.0,17959,1347,3085.0,30130.0,22930.0,7820.0,1421.0,23484.0,1910.0,2936,1918.0,8020.0,8097.0,1809.0,9515,5851.0,4965,2970.0,4939.0,2755.0,58400,23441,1299.0,10805.0,28145,5980.0,5800.0,12980.0
5783,4400.0,18500,1346,3120.0,30705.0,22800.0,8000.0,1435.0,22885.0,1915.0,2988,1972.0,8090.0,8093.0,1859.0,9650,5792.0,5220,3057.0,5174.0,2760.0,57413,24367,1307.0,10900.0,28190,5980.0,5740.0,12651.0
5802,4494.0,18000,1346,3339.0,30589.0,23200.0,8070.0,1467.0,23184.0,1950.0,2995,1970.0,8075.0,8074.0,1856.0,9700,5762.0,5255,3170.0,5225.0,2770.0,57500,24438,1297.0,10980.0,28000,6000.0,5700.0,12588.0
5900,4600.0,18235,1365,3330.0,30099.0,23285.0,7850.0,1495.0,22685.0,1952.0,2967,1975.0,8200.0,7968.0,1865.0,9617,5900.0,5145,3285.0,5115.0,2830.0,56000,24275,1290.0,10857.0,27800,6000.0,5830.0,12625.0
5974,4700.0,18299,1352,3300.0,28742.0,23639.0,7839.0,1495.0,22375.0,1960.0,2940,1959.0,8160.0,7964.0,1881.0,9301,5691.0,5240,3240.0,5091.0,2770.0,54990,23998,1250.0,10605.0,27245,5980.0,5820.0,12600.0
6055,4750.0,18299,1353,3400.0,28800.0,23912.0,7596.0,1495.0,23130.0,1950.0,2918,1937.0,8098.0,8083.0,1860.0,9298,5630.0,5225,3210.0,5039.0,2740.0,55004,23599,1296.0,10700.0,26775,6100.0,5770.0,12540.0
5950,4800.0,18790,1363,3421.0,29260.0,24150.0,7850.0,1502.0,23135.0,1901.0,3016,1978.0,8080.0,8136.0,1900.0,9405,5700.0,5353,3295.0,5148.0,2728.0,55450,24675,1289.0,10975.0,27200,5915.0,5785.0,12699.0
5950,4800.0,18799,1355,3575.0,29600.0,24390.0,8200.0,1557.0,23355.0,1921.0,3058,2022.0,8044.0,8492.0,1903.0,9338,5825.0,5530,3449.0,5315.0,2760.0,59100,24968,1289.0,10705.0,27800,5995.0,5870.0,12800.0
5994,4800.0,19800,1357,3709.0,30900.0,23970.0,8450.0,1565.0,23483.0,2048.0,3024,2074.0,8249.0,8738.0,1960.0,9511,5760.0,5699,3653.0,5480.0,2770.0,59015,26265,1292.0,10995.0,28320,5982.0,5780.0,12700.0
6050,4800.0,19340,1345,3775.0,31100.0,24594.0,8400.0,1530.0,23183.0,2015.0,3002,2090.0,8250.0,8756.0,1969.0,9325,5735.0,5727,3698.0,5398.0,2780.0,61790,25950,1288.0,11003.0,28552,6125.0,5711.0,12799.0
6100,4610.0,18975,1351,3650.0,30215.0,24808.0,8600.0,1540.0,23634.0,2045.0,2947,2055.0,8345.0,8979.0,1951.0,9240,5760.0,5600,3685.0,5404.0,2760.0,62100,26752,1297.0,10695.0,28800,6040.0,5650.0,12700.0
6050,4801.0,19564,1350,3670.0,30900.0,25000.0,8556.0,1525.0,23530.0,2020.0,3030,2037.0,8450.0,8710.0,1974.0,9202,5725.0,5564,3700.0,5391.0,2692.0,64500,26445,1301.0,10961.0,28900,6011.0,5739.0,12900.0
6050,4910.0,20399,1350,3720.0,30526.0,25024.0,8578.0,1502.0,23530.0,2000.0,3030,2037.0,8500.0,8710.0,1996.0,9420,5725.0,5540,3740.0,5350.0,2699.0,64500,26000,1301.0,10895.0,29000,5930.0,5700.0,13110.0
6032,5000.0,20399,1340,3700.0,30526.0,25024.0,8578.0,1502.0,24179.0,1950.0,3012,2005.0,8500.0,8449.0,1996.0,9420,5835.0,5540,3740.0,5350.0,2699.0,65000,26000,1271.0,10895.0,29000,5905.0,5700.0,13110.0
